request_date,complaint_type,borough,request_count
2022-01-12T00:00:00.000,Street Condition,QUEENS,55
2022-01-12T00:00:00.000,Street Condition,STATEN ISLAND,29
2022-01-12T00:00:00.000,Street Condition,Unspecified,1
2022-01-13T00:00:00.000,Air Quality,BRONX,3
2022-01-13T00:00:00.000,Air Quality,BROOKLYN,4
2022-01-13T00:00:00.000,Air Quality,MANHATTAN,38
2022-01-13T00:00:00.000,Air Quality,QUEENS,10
2022-01-13T00:00:00.000,Air Quality,STATEN ISLAND,1
2022-01-13T00:00:00.000,HEAT/HOT WATER,BRONX,412
2022-01-13T00:00:00.000,HEAT/HOT WATER,BROOKLYN,299
2022-01-13T00:00:00.000,HEAT/HOT WATER,MANHATTAN,263
2022-01-13T00:00:00.000,HEAT/HOT WATER,QUEENS,127
2022-01-13T00:00:00.000,HEAT/HOT WATER,STATEN ISLAND,20
2022-01-13T00:00:00.000,Noise - Street/Sidewalk,BRONX,22
2022-01-13T00:00:00.000,Noise - Street/Sidewalk,BROOKLYN,31
2022-01-13T00:00:00.000,Noise - Street/Sidewalk,MANHATTAN,66
2022-01-13T00:00:00.000,Noise - Street/Sidewalk,QUEENS,16
2022-01-13T00:00:00.000,Sewer,BRONX,5
2022-01-13T00:00:00.000,Sewer,BROOKLYN,22
2022-01-13T00:00:00.000,Sewer,MANHATTAN,1
2022-01-13T00:00:00.000,Sewer,QUEENS,25
2022-01-13T00:00:00.000,Sewer,STATEN ISLAND,4
2022-01-13T00:00:00.000,Street Condition,BRONX,60
2022-01-13T00:00:00.000,Street Condition,BROOKLYN,56
2022-01-13T00:00:00.000,Street Condition,MANHATTAN,14
2022-01-13T00:00:00.000,Street Condition,QUEENS,76
2022-01-13T00:00:00.000,Street Condition,STATEN ISLAND,20
2022-01-14T00:00:00.000,Air Quality,BRONX,1
2022-01-14T00:00:00.000,Air Quality,BROOKLYN,6
2022-01-14T00:00:00.000,Air Quality,MANHATTAN,34
2022-01-14T00:00:00.000,Air Quality,QUEENS,2
2022-01-14T00:00:00.000,Air Quality,STATEN ISLAND,2
2022-01-14T00:00:00.000,HEAT/HOT WATER,BRONX,510
2022-01-14T00:00:00.000,HEAT/HOT WATER,BROOKLYN,318
2022-01-14T00:00:00.000,HEAT/HOT WATER,MANHATTAN,292
2022-01-14T00:00:00.000,HEAT/HOT WATER,QUEENS,175
2022-01-14T00:00:00.000,HEAT/HOT WATER,STATEN ISLAND,16
2022-01-14T00:00:00.000,Noise - Street/Sidewalk,BRONX,27
2022-01-14T00:00:00.000,Noise - Street/Sidewalk,BROOKLYN,26
2022-01-14T00:00:00.000,Noise - Street/Sidewalk,MANHATTAN,59
2022-01-14T00:00:00.000,Noise - Street/Sidewalk,QUEENS,14
2022-01-14T00:00:00.000,Sewer,BRONX,16
2022-01-14T00:00:00.000,Sewer,BROOKLYN,25
2022-01-14T00:00:00.000,Sewer,QUEENS,16
2022-01-14T00:00:00.000,Sewer,STATEN ISLAND,8
2022-01-14T00:00:00.000,Street Condition,BRONX,9
2022-01-14T00:00:00.000,Street Condition,BROOKLYN,38
2022-01-14T00:00:00.000,Street Condition,MANHATTAN,21
2022-01-14T00:00:00.000,Street Condition,QUEENS,35
2022-01-14T00:00:00.000,Street Condition,STATEN ISLAND,34
2022-01-14T00:00:00.000,Street Condition,Unspecified,1
2022-01-15T00:00:00.000,Air Quality,BROOKLYN,7
2022-01-15T00:00:00.000,Air Quality,MANHATTAN,17
2022-01-15T00:00:00.000,Air Quality,QUEENS,1
2022-01-15T00:00:00.000,Air Quality,STATEN ISLAND,1
2022-01-15T00:00:00.000,HEAT/HOT WATER,BRONX,1369
2022-01-15T00:00:00.000,HEAT/HOT WATER,BROOKLYN,907
2022-01-15T00:00:00.000,HEAT/HOT WATER,MANHATTAN,680
2022-01-15T00:00:00.000,HEAT/HOT WATER,QUEENS,510
2022-01-15T00:00:00.000,HEAT/HOT WATER,STATEN ISLAND,32
2022-01-15T00:00:00.000,Noise - Street/Sidewalk,BRONX,11
2022-01-15T00:00:00.000,Noise - Street/Sidewalk,BROOKLYN,23
2022-01-15T00:00:00.000,Noise - Street/Sidewalk,MANHATTAN,60
2022-01-15T00:00:00.000,Noise - Street/Sidewalk,QUEENS,6
2022-01-15T00:00:00.000,Noise - Street/Sidewalk,STATEN ISLAND,1
2022-01-15T00:00:00.000,Sewer,BRONX,4
2022-01-15T00:00:00.000,Sewer,BROOKLYN,10
2022-01-15T00:00:00.000,Sewer,MANHATTAN,3
2022-01-15T00:00:00.000,Sewer,QUEENS,11
2022-01-15T00:00:00.000,Sewer,STATEN ISLAND,4
2022-01-15T00:00:00.000,Street Condition,BRONX,4
2022-01-15T00:00:00.000,Street Condition,BROOKLYN,21
2022-01-15T00:00:00.000,Street Condition,MANHATTAN,9
2022-01-15T00:00:00.000,Street Condition,QUEENS,32
2022-01-15T00:00:00.000,Street Condition,STATEN ISLAND,10
2022-01-16T00:00:00.000,Air Quality,BRONX,2
2022-01-16T00:00:00.000,Air Quality,BROOKLYN,2
2022-01-16T00:00:00.000,Air Quality,MANHATTAN,2
2022-01-16T00:00:00.000,Air Quality,QUEENS,9
2022-01-16T00:00:00.000,Air Quality,STATEN ISLAND,2
2022-01-16T00:00:00.000,HEAT/HOT WATER,BRONX,1283
2022-01-16T00:00:00.000,HEAT/HOT WATER,BROOKLYN,982
2022-01-16T00:00:00.000,HEAT/HOT WATER,MANHATTAN,910
2022-01-16T00:00:00.000,HEAT/HOT WATER,QUEENS,481
2022-01-16T00:00:00.000,HEAT/HOT WATER,STATEN ISLAND,43
2022-01-16T00:00:00.000,Noise - Street/Sidewalk,BRONX,20
2022-01-16T00:00:00.000,Noise - Street/Sidewalk,BROOKLYN,15
2022-01-16T00:00:00.000,Noise - Street/Sidewalk,MANHATTAN,39
2022-01-16T00:00:00.000,Noise - Street/Sidewalk,QUEENS,9
2022-01-16T00:00:00.000,Noise - Street/Sidewalk,STATEN ISLAND,1
2022-01-16T00:00:00.000,Sewer,BRONX,5
2022-01-16T00:00:00.000,Sewer,BROOKLYN,12
2022-01-16T00:00:00.000,Sewer,MANHATTAN,4
2022-01-16T00:00:00.000,Sewer,QUEENS,20
2022-01-16T00:00:00.000,Sewer,STATEN ISLAND,5
2022-01-16T00:00:00.000,Street Condition,BRONX,5
2022-01-16T00:00:00.000,Street Condition,BROOKLYN,25
2022-01-16T00:00:00.000,Street Condition,MANHATTAN,11
2022-01-16T00:00:00.000,Street Condition,QUEENS,12
2022-01-16T00:00:00.000,Street Condition,STATEN ISLAND,25
2022-01-17T00:00:00.000,Air Quality,BRONX,1
2022-01-17T00:00:00.000,Air Quality,BROOKLYN,6
2022-01-17T00:00:00.000,Air Quality,MANHATTAN,3
2022-01-17T00:00:00.000,Air Quality,QUEENS,13
2022-01-17T00:00:00.000,HEAT/HOT WATER,BRONX,674
2022-01-17T00:00:00.000,HEAT/HOT WATER,BROOKLYN,513
2022-01-17T00:00:00.000,HEAT/HOT WATER,MANHATTAN,411
2022-01-17T00:00:00.000,HEAT/HOT WATER,QUEENS,246
2022-01-17T00:00:00.000,HEAT/HOT WATER,STATEN ISLAND,26
2022-01-17T00:00:00.000,Noise - Street/Sidewalk,BRONX,12
2022-01-17T00:00:00.000,Noise - Street/Sidewalk,BROOKLYN,6
2022-01-17T00:00:00.000,Noise - Street/Sidewalk,MANHATTAN,23
2022-01-17T00:00:00.000,Noise - Street/Sidewalk,QUEENS,5
2022-01-17T00:00:00.000,Sewer,BRONX,13
2022-01-17T00:00:00.000,Sewer,BROOKLYN,42
2022-01-17T00:00:00.000,Sewer,MANHATTAN,8
2022-01-17T00:00:00.000,Sewer,QUEENS,55
2022-01-17T00:00:00.000,Sewer,STATEN ISLAND,38
2022-01-17T00:00:00.000,Sewer,Unspecified,1
2022-01-17T00:00:00.000,Street Condition,BRONX,17
2022-01-17T00:00:00.000,Street Condition,BROOKLYN,51
2022-01-17T00:00:00.000,Street Condition,MANHATTAN,29
2022-01-17T00:00:00.000,Street Condition,QUEENS,53
2022-01-17T00:00:00.000,Street Condition,STATEN ISLAND,14
2022-01-17T00:00:00.000,Street Condition,Unspecified,1
2022-01-18T00:00:00.000,Air Quality,BRONX,1
2022-01-18T00:00:00.000,Air Quality,BROOKLYN,3
2022-01-18T00:00:00.000,Air Quality,MANHATTAN,38
2022-01-18T00:00:00.000,Air Quality,QUEENS,6
2022-01-18T00:00:00.000,HEAT/HOT WATER,BRONX,669
2022-01-18T00:00:00.000,HEAT/HOT WATER,BROOKLYN,477
2022-01-18T00:00:00.000,HEAT/HOT WATER,MANHATTAN,470
2022-01-18T00:00:00.000,HEAT/HOT WATER,QUEENS,232
2022-01-18T00:00:00.000,HEAT/HOT WATER,STATEN ISLAND,20
2022-01-18T00:00:00.000,Noise - Street/Sidewalk,BRONX,15
2022-01-18T00:00:00.000,Noise - Street/Sidewalk,BROOKLYN,16
2022-01-18T00:00:00.000,Noise - Street/Sidewalk,MANHATTAN,38
2022-01-18T00:00:00.000,Noise - Street/Sidewalk,QUEENS,8
2022-01-18T00:00:00.000,Noise - Street/Sidewalk,STATEN ISLAND,1
2022-01-18T00:00:00.000,Sewer,BRONX,14
2022-01-18T00:00:00.000,Sewer,BROOKLYN,23
